"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"860Z200US98564","ZCTA5 98564","338","148","5","8","0","13","85","91","87","118","17","15","0","13","15","23","23","22","13","17","93","70",
"860Z200US98565","ZCTA5 98565","29","25","0","13","0","13","0","13","0","13","0","13","8","12","0","13","13","18","8","12","0","13",
"860Z200US98566","ZCTA5 98566","5","5","3","4","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","2","4",
"860Z200US98568","ZCTA5 98568","197","62","10","9","32","29","15","16","15","11","10","13","7","8","5","6","30","26","62","45","11","12",
"860Z200US98569","ZCTA5 98569","637","185","14","23","61","74","9","18","133","111","146","122","0","19","27","33","35","40","149","111","63","51",
"860Z200US98570","ZCTA5 98570","492","173","47","64","27","30","26","31","58","64","84","83","40","48","0","19","25","39","36","49","149","103",
"860Z200US98571","ZCTA5 98571","23","40","23","40","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98572","ZCTA5 98572","81","43","13","14","4","8","24","27","7","11","0","13","0","13","0","13","1","3","10","19","22","18",
"860Z200US98575","ZCTA5 98575","3","5","0","13","0","13","3","5","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98576","ZCTA5 98576","175","78","0","19","0","19","8","10","59","51","0","19","0","19","0","19","18","30","79","64","11","14",
"860Z200US98577","ZCTA5 98577","463","142","17","22","30","45","41","46","56","56","111","86","18","20","28","32","23","27","67","46","72","56",
"860Z200US98579","ZCTA5 98579","867","277","0","21","69","91","73","49","85","85","77","91","98","78","85","101","26","43","218","167","136","146",
"860Z200US98580","ZCTA5 98580","586","188","62","64","41","53","13","14","98","101","42","46","20","33","0","21","98","110","3","4","209","141",
"860Z200US98581","ZCTA5 98581","13","20","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","13","20",
"860Z200US98582","ZCTA5 98582","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98583","ZCTA5 98583","21","21","0","13","0","13","8","13","0","13","0","13","0","13","0","13","0","13","3","5","10","16",
"860Z200US98584","ZCTA5 98584","3328","368","164","92","105","61","394","143","343","180","468","185","276","130","182","69","143","83","830","225","423","184",
"860Z200US98585","ZCTA5 98585","63","58","0","13","0","13","0","13","0","13","9","15","0","13","12","18","0","13","0","13","42","54",
"860Z200US98586","ZCTA5 98586","326","116","15","16","37","40","27","31","33","37","27","29","0","13","11","17","67","55","78","74","31","31",
"860Z200US98587","ZCTA5 98587","61","30","5","6","15","11","8","7","1","4","13","12","0","13","10","17","2","3","3","4","4","8",
"860Z200US98588","ZCTA5 98588","56","68","0","13","0","13","0","13","0","13","0","13","5","14","0","13","15","28","0","13","36","50",
"860Z200US98589","ZCTA5 98589","563","157","9","13","13","17","12","16","82","55","84","54","114","89","4","7","44","53","135","88","66","59",
"860Z200US98590","ZCTA5 98590","26","29","1","2","0","13","8","13","0","13","3","5","2","3","0","13","2","3","7","22","3","7",
