ZIP,date,forecast_rent
98001,2025-08-01,2271.9547167465767
98001,2025-09-01,2274.882076903073
98001,2025-10-01,2277.8094370595695
98001,2025-11-01,2280.7367972160655
98001,2025-12-01,2283.664157372562
98001,2026-01-01,2286.5915175290584
98001,2026-02-01,2289.518877685555
98001,2026-03-01,2292.4462378420512
98001,2026-04-01,2295.3735979985477
98001,2026-05-01,2298.3009581550436
98001,2026-06-01,2301.22831831154
98001,2026-07-01,2304.1556784680365
98001,2026-08-01,2307.083038624533
98001,2026-09-01,2310.0103987810294
98001,2026-10-01,2312.9377589375254
98001,2026-11-01,2315.865119094022
98001,2026-12-01,2318.792479250518
98001,2027-01-01,2321.7198394070147
98001,2027-02-01,2324.647199563511
98001,2027-03-01,2327.5745597200075
98001,2027-04-01,2330.501919876504
98001,2027-05-01,2333.429280033
98001,2027-06-01,2336.3566401894964
98001,2027-07-01,2339.284000345993
98001,2027-08-01,2342.2113605024892
98001,2027-09-01,2345.1387206589857
98001,2027-10-01,2348.0660808154817
98001,2027-11-01,2350.993440971978
98001,2027-12-01,2353.9208011284745
98001,2028-01-01,2356.848161284971
98001,2028-02-01,2359.7755214414674
98001,2028-03-01,2362.702881597964
98001,2028-04-01,2365.6302417544603
98001,2028-05-01,2368.5576019109562
98001,2028-06-01,2371.4849620674527
98001,2028-07-01,2374.412322223949
98001,2028-08-01,2377.3396823804455
98001,2028-09-01,2380.267042536942
98001,2028-10-01,2383.194402693438
98001,2028-11-01,2386.1217628499344
98001,2028-12-01,2389.049123006431
98001,2029-01-01,2391.9764831629273
98001,2029-02-01,2394.9038433194237
98001,2029-03-01,2397.83120347592
98001,2029-04-01,2400.7585636324166
98001,2029-05-01,2403.6859237889125
98001,2029-06-01,2406.613283945409
98001,2029-07-01,2409.5406441019054
98001,2029-08-01,2412.468004258402
98001,2029-09-01,2415.395364414898
98001,2029-10-01,2418.3227245713942
98001,2029-11-01,2421.2500847278907
98001,2029-12-01,2424.177444884387
98001,2030-01-01,2427.1048050408835
98001,2030-02-01,2430.03216519738
98001,2030-03-01,2432.9595253538764
98001,2030-04-01,2435.886885510373
98001,2030-05-01,2438.814245666869
98001,2030-06-01,2441.7416058233653
98001,2030-07-01,2444.6689659798617
98002,2025-08-01,1907.4350853074677
98002,2025-09-01,1913.7057919775525
98002,2025-10-01,1919.976498647637
98002,2025-11-01,1926.2472053177216
98002,2025-12-01,1932.5179119878064
98002,2026-01-01,1938.788618657891
98002,2026-02-01,1945.0593253279758
98002,2026-03-01,1951.3300319980603
98002,2026-04-01,1957.600738668145
98002,2026-05-01,1963.8714453382297
98002,2026-06-01,1970.1421520083145
98002,2026-07-01,1976.412858678399
98002,2026-08-01,1982.6835653484836
98002,2026-09-01,1988.9542720185682
98002,2026-10-01,1995.224978688653
98002,2026-11-01,2001.4956853587378
98002,2026-12-01,2007.7663920288223
98002,2027-01-01,2014.037098698907
98002,2027-02-01,2020.3078053689917
98002,2027-03-01,2026.5785120390765
98002,2027-04-01,2032.849218709161
98002,2027-05-01,2039.1199253792456
98002,2027-06-01,2045.3906320493302
98002,2027-07-01,2051.6613387194147
98002,2027-08-01,2057.9320453894998
98002,2027-09-01,2064.2027520595843
98002,2027-10-01,2070.473458729669
98002,2027-11-01,2076.744165399754
98002,2027-12-01,2083.014872069838
98002,2028-01-01,2089.285578739923
98002,2028-02-01,2095.5562854100076
98002,2028-03-01,2101.826992080092
98002,2028-04-01,2108.097698750177
98002,2028-05-01,2114.3684054202618
98002,2028-06-01,2120.6391120903463
98002,2028-07-01,2126.909818760431
98002,2028-08-01,2133.1805254305154
98002,2028-09-01,2139.4512321006005
98002,2028-10-01,2145.721938770685
98002,2028-11-01,2151.9926454407696
98002,2028-12-01,2158.263352110854
98002,2029-01-01,2164.5340587809387
98002,2029-02-01,2170.8047654510237
98002,2029-03-01,2177.0754721211083
98002,2029-04-01,2183.346178791193
98002,2029-05-01,2189.616885461278
98002,2029-06-01,2195.887592131362
98002,2029-07-01,2202.158298801447
98002,2029-08-01,2208.4290054715316
98002,2029-09-01,2214.699712141616
98002,2029-10-01,2220.970418811701
98002,2029-11-01,2227.2411254817853
98002,2029-12-01,2233.5118321518703
98002,2030-01-01,2239.782538821955
98002,2030-02-01,2246.0532454920394
98002,2030-03-01,2252.3239521621244
98002,2030-04-01,2258.5946588322086
98002,2030-05-01,2264.8653655022936
98002,2030-06-01,2271.136072172378
98002,2030-07-01,2277.4067788424627
98003,2025-08-01,1924.4384617426176
98003,2025-09-01,1929.9145270161284
98003,2025-10-01,1935.3905922896388
98003,2025-11-01,1940.8666575631496
98003,2025-12-01,1946.34272283666
98003,2026-01-01,1951.8187881101708
98003,2026-02-01,1957.2948533836814
98003,2026-03-01,1962.770918657192
98003,2026-04-01,1968.2469839307025
98003,2026-05-01,1973.723049204213
98003,2026-06-01,1979.1991144777237
98003,2026-07-01,1984.6751797512343
98003,2026-08-01,1990.151245024745
98003,2026-09-01,1995.6273102982555
98003,2026-10-01,2001.1033755717663
98003,2026-11-01,2006.5794408452766
98003,2026-12-01,2012.0555061187874
98003,2027-01-01,2017.5315713922978
98003,2027-02-01,2023.0076366658086
98003,2027-03-01,2028.4837019393192
98003,2027-04-01,2033.9597672128298
98003,2027-05-01,2039.4358324863404
98003,2027-06-01,2044.911897759851
98003,2027-07-01,2050.3879630333613
98003,2027-08-01,2055.864028306872
98003,2027-09-01,2061.340093580383
98003,2027-10-01,2066.8161588538933
98003,2027-11-01,2072.292224127404
98003,2027-12-01,2077.7682894009145
